,size,Diptera (D),Coleoptera (C),Lepidoptera (L),Hemiptera (H),Ephemeroptera(E),Hymenoptera (HY),Trichoptera (T),Psocodea(PS),Plecoptera (P),Megaloptera (M),Blattodea (B),Mecoptera (ME),Neuroptera(N),Orthoptera(O),Odonata(OD),Dermaptera (DE),Non-insect (*),Unidentifiable,notes,,totals by order,,total total
W1-3.0620.0919,S,35,,1,2,,1,,,,,,,,,,,,,,,,,
W1-3.0620.0919,M,10,1,1,,,,1,,,,,,,,,,,,,,,,
W1-1.0620.0839,S,12,,,,,,,,,,,,,,,,,,,,,,
W1-1.0620.0839,M,1,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0623.0824,S,1,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0623.0829,S,5,2,,2,,,,,,,,,,,,,,,,,,,
Z2-3.0623.0829,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0623.0854,S,2,3,,13,,2,,,,,,,,,,,,,,,,,
Z2-3.0623.0854,M,,1,,,,,,,1,,,,,,,,,,,,,,
W3-2.0620.0829,S,,,,1,,,,,,,,,,,,,,,,,,,
W3-3.0613.0947,S,16,,,,,,,,,,,,,,,,,,,,,,
W3-3.0613.0947,M,,2,,,,,,,,,,,,,,,,,,,,,
W3-3.0613.0947,L,,,1,,,,,,,,,,,,,,,,,,,,
W3-1.0613.0952,S,10,,1,,,,,,,,,,,,,,,,,,,,
W3-1.0613.0952,,,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0613.1007,S,14,,,1,,,,,,,,,,,,,,,,,,,
W2-1.0620.0909,S,112,5,,15,,1,1,,,,,,,,,,,,,,,,
W2-1.0620.0909,M,5,3,1,,,,,,,,,,,,,,,,,,,,
W2-1.0613.0822,S,,,1,,,,,,,,,,,,,,,,,,,,
W2-2.0613.0912,S,5,,,,,,,,,,,,,,,,,,,,,,
W2-2.0613.0912,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-2.0620.0844,S,17,2,,,,,,,,,,,,,,,,,,,,,
W1-2.0620.0844,M,2,,,,,,,,,,,,,,,,,,,,,,
W3-3.0620.1019,S,26,1,1,,,1,,,,,,,,,,,,,,,,,
W3-3.0620.1019,M,,6,,2,,,,,,,,,,,,,,,,,,,
W3-3.0620.1019,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-3.0613.0932,S,2,,,,,,,,,,,,,,,,,,,,,,
W2-3.0613.0932,M,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0913,S,8,,,1,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0913,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0613.0937,S,24,,,,,,,,,,,,,,,,,,,,,,
W1-1.0613.0937,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0620.0939,S,46,1,3,7,,4,,,,,,,,,,,,,,,,,
W2-1.0620.0939,M,1,4,5,,,,,,,,,,,,,,,,,,,,
W3-1.0613.0922,S,15,,,,,,,,,,,,,,,,1,,arachnid,,,,
W3-1.0613.0922,M,1,,,,,,,,,,,,,,,,,,,,,,
W3-1.0613.0922,L,,,1,,,,,,,,,,,,,,,,,,,,
W3-2.0620.0844,S,3,,,,,,,,,,,,,,,,,,,,,,
S1-2.0623.0930,S,,2,,1,,,3,,,,,,,,,,,,,,,,
S1-2.0623.0930,M,2,3,2,,,,,,,,,,,,,,,,,,,,
S1-2.0623.0930,L,,,2,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0912,S,3,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0844,S,,1,,,,,,,,,,,,,,,,,,,,,
W3-1.0620.1009,S,13,,,8,,,,,,,,,,,,,1,,arachnid,,,,
W3-1.0620.1009,M,2,3,,,,1,,,,,,,,,,,,,,,,,
W1-1.0620.0854,S,51,5,,,,,,,,,,,,,,,,,,,,,
W1-1.0620.0854,M,4,,1,,,,,,,,,,,,,,,,,,,,
Z1-2.0623.0959,S,7,6,,3,,,3,,,,,,,,,,,,,,,,
Z1-2.0623.0959,M,3,4,,,,,,,,,,,,,,,,,,,,,
Z3-3.0623.0924,S,7,5,,6,,2,,,,,,,,,,,,,,,,,
Z3-3.0623.0924,M,2,1,,,,1,,,,,,,,,,,,,,,,,
W1-3.0620.0849,S,5,1,,1,,,,,,,,,,,,,,,,,,,
W1-3.0620.0849,M,6,,1,,,,,,,,,,,,,,,,,,,,
W3-3.0613.1002,S,26,,,,,,,,,,,,,,,,,,,,,,
W3-3.0613.1002,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0859,S,2,2,,3,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0859,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0859,L,,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0620.0954,S,35,,4,5,,,,,,,,,,,,,,,,,,,
W2-1.0620.0954,M,,4,1,,,,,,,,,,,,,,,,,,,,
W2-1.0620.0954,L,,1,,,,,,,,,,,,,,,,,,,,,
W1-3.0620.0934,S,24,3,2,1,,,1,,,,,,,,,,,,,,,,
W1-3.0620.0934,M,2,,,,,,,,,,,,,,,,,,,,,,
W1-1.0620.1009,S,68,1,,1,,1,4,,,,,,,,,,1,,,,,,
W1-1.0620.1009,M,5,3,7,,,1,1,,,,,,,,,,,,,,,,
W1-2.0620.0944,S,59,3,5,,,,,,,,,,,,,,,,,,,,
W1-2.0620.0944,M,,4,4,,,,2,,,,,,,,,,,,,,,,
W2-3.0620.1004,S,5,4,2,2,,1,,,,,,,,,,,,,,,,,
W2-3.0620.1004,M,1,4,1,,,,,,,,,,,,,,1,,arachnid,,,,
W2-3.0620.1004,L,,2,,,,,,,,,2,,,,,,,,,,,,
W2-2.0620.0914,S,2,,,3,,,,,,,,,,,,,,,,,,,
W2-2.0620.0914,M,1,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0620.0944,S,31,2,1,2,,2,,,,,,,,,,,,,,,,,
W2-2.0620.0944,M,1,1,6,,,,,,,,,,,,,,,,,,,,
W2-2.0620.0944,L,,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0620.0944,G,,,,,,,,,,1,,,,,,,,,,,,,
W2-2.0620.1014,S,43,,9,2,,,,,,,,,,,,,,,,,,,
W2-2.0620.1014,M,4,1,4,,,1,,,,,,,,,,,,,,,,,
W2-2.0620.1014,L,,1,1,,,,,,,,,,,,,,,,,,,,
W3-3.0620.0949,S,19,5,,,,,,,,,,,,,,,,,,,,,
W3-3.0620.0949,M,,2,1,,,,,,,,,,,,,,,,,,,,
W3-3.0620.0949,L,1,,2,,,,,,,,,,,,,,,,,,,,
W3-2.0620.0929,S,30,2,3,,,,,,,,,,,,,,,,,,,,
W3-2.0620.0929,M,1,,,,,,,,,,,,,,,,,,,,,,
W3-1.0620.0824,S,7,,,,,,,,,,,,,,,,,,,,,,
S1-2.0618.0943,S,4,1,,,,,,,,,,,,,,,,,,,,,
S1-2.0618.0943,M,,,,1,,,,,,,,,,,,,,,,,,,
S1-2.0618.0943,G,,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0620.0914,S,29,1,1,2,,,,,,,,,,,,,,,,,,,
W3-2.0620.0914,L,1,,,,,,,,,,,,,,,,,,,,,,
W2-1.0620.1004,S,67,1,4,6,,1,,,,,,,,,,,,,,,,,
W2-1.0620.1004,M,,11,,,,,,,,,,,,,,,,,,,,,
W2-1.0620.1004,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-1.0620.1004,G,,,,,,,,,,,1,,,,,,,,,,,,
W3-3.0620.0919,S,27,3,,1,,,,,,,,,,,,,,,,,,,
W3-3.0620.0919,M,2,1,1,1,,1,,,,,,,,,,,,,,,,,
W3-2.0620.1014,S,28,1,,1,,,4,,,,,,,,,,,,,,,,
W3-2.0620.1014,M,2,4,1,,,,,,,,,,,,,,,,,,,,
W1-3.0620.0949,S,54,2,3,1,,1,1,,,,,,,,,,,,,,,,
W1-3.0620.0949,M,1,1,1,1,,,1,,,,,,,,,,,,,,,,
W3-3.0620.0934,S,28,,2,,,,,,,,,,,,,,,,,,,,
W3-3.0620.0934,M,2,3,1,,,,,,,,,,,,,,,,,,,,
W3-3.0620.0934,L,,1,,,,,,,,,,,,,,,,,,,,,
W3-1.0620.0909,S,17,,,8,,,1,,,,,,,,,,,,,,,,
W3-1.0620.0909,M,1,,,,,,,,,,,,,,,,,,,,,,
W3-1.0620.0839,S,1,,,,,,,,,,,,,,,,,,,,,,
W1-1.0620.0954,S,83,3,,1,,,1,,,,,,,,,,1,,,,,,
W1-1.0620.0954,M,3,3,7,,,,,,,,,,,,,,,,,,,,
W3-3.0620.0849,S,2,2,,,,,,,,,,,,,,,2,1,,,,,
W3-3.0620.0849,L,1,,,,,,,,,,,,,,,,,,,,,,
W3-1.0620.0854,S,4,,,4,,,,,,,,,,,,,,,,,,,
W3-1.0620.0854,M,1,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0620.0854,S,120,3,1,14,,,,,,,,,,,,,,,,,,,
W2-1.0620.0854,M,2,,1,,,,,,,,,,,,,,,,,,,,
W2-1.0620.0854,L,,,,,,,,,,,1,,,,,,,,,,,,
W2-1.0620.0854,G,,,,,,,,,,,2,,,,,,,,,,,,
W2-3.0620.0919,S,34,,,,,,,,,,,,,,,,1,,arachnid,,,,
W2-3.0620.0919,M,,,,,,,,,,1,,,,,,,,,,,,,
W2-3.0620.0919,G,,,,,,,,,,,1,,,,,,,,,,,,
W2-3.0620.0934,S,34,,,1,,1,,,,,,,,,,,,,,,,,
W2-3.0620.0934,M,2,1,6,1,,,,,,,,,,,,,,,,,,,
W2-1.0620.0839,S,71,,,6,,,,,,,,,,,,,,,,,,,
W2-1.0620.0839,L,,,,,,,,,,,1,,,,,,,,,,,,
W2-1.0620.0839,G,,,,,,,,,,,1,,,,,,,,,,,,
W2-3.0620.0849,S,16,1,,1,,1,,,,,,,,,,,,,,,,,
S1-2.0625.1015,S,17,1,1,3,,,1,,,,,,,,,,,,,,,,
S1-2.0625.1015,M,5,,3,,,1,,,,,,,,,,,,,,,,,
S1-2.0625.1015,L,,,4,,,,,,,,,,,,,,,,,,,,
S1-2.0625.0915,S,9,4,1,1,,,,,,,,,,,,,,,,,,,
S1-2.0625.0915,M,,4,,,,,,,,,,,,,,,,,,,,,
S1-2.0625.0945,S,11,10,,1,,,,,,,,,,,,,,,,,,,
S1-2.0625.0945,M,1,3,2,,,,,,,,,,,,,,,,,,,,
S1-2.0625.0945,L,,,2,,,,,,,,,,,,,,,,,,,,
S1-1.0625.0850,S,,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0625.0855,S,4,5,,,,1,,,,,,,,,,,,,,,,,
S1-3.0625.0855,M,,2,,,,,,,,,,,,,,,,,,,,,
S1-2.0625.0900,S,6,1,,1,,1,,,,,,,,,,,,,,,,,
S1-2.0625.0900,M,1,2,,,,,,,,,,,,,,,,,,,,,
S1-2.0625.0900,L,,,2,,,,,,,,,,,,,,,,,,,,
S3-1.0625.0920,S,8,4,,13,,,1,,,,,,,,,,,,,,,,
S3-2.0625.0845,S,1,,,3,,,,,,,,,,,,,,,,,,,
S1-1.0625.0920,S,12,2,,1,,1,,,,,,,,,,,,,,,,,
S1-1.0625.0920,M,1,,,,,,,,,,,,,,,,,,,,,,
S1-1.0625.0920,G,1,,,,,,,,,,,,,,,,,,,,,,
S1-3.0625.0940,S,7,8,,6,,,4,,,,,,,,,,,,,,,,
S1-3.0625.0940,M,,1,3,,,,,,,,,,,,,,,,,,,,
S1-3.0625.0940,L,,,2,,,,,,,,,,,,,,,,,,,,
S1-3.0625.0840,S,,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0625.0840,M,,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0625.0955,S,5,4,1,1,,1,,,,,,,,,,,,,,,,,
S1-3.0625.0955,M,,2,3,1,,,,,,,,,,,,,,,,,,,
S1-3.0625.0955,L,,,2,,,,,,,,,,,,,,,,,,,,
S1-3.0625.0910,S,6,4,,1,,,,,,,,,,,,,,,,,,,
S1-3.0625.0910,M,,3,2,,,,,,,,,,,,,,,,,,,,
S1-3.0618.0933,S,3,,,,,,,,,,,,,,,,,,,,,,
S1-3.0618.0933,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0613.0957,S,7,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0613.0957,M,,2,,,,,,,,,,,,,,,,,,,,,
W3-2.0613.0957,L,,1,1,,,,,,,,,,,,,,,,,,,,
S3-2.0625.0900,S,,,,1,,,,,,,,,,,,,,,,,,,
W3-1.0620.0939,S,3,,,4,,,,,,,,,,,,,,,,,,,
W3-1.0620.0939,M,2,,,,,,,,,,,,,,,,,,,,,,
S3-2.0625.1015,S,,2,1,6,,,1,,,,,,,,,,,,,,,,
S3-2.0625.1015,M,,3,,,,,,,,,,,,,,,,,,,,,
S2-1.0625.0835,S,,1,,,,,,,,,,,,,,,,,,,,,
S3-3.0625.0955,S,4,6,,7,,,,,,,,,,,,,,,,,,,
S3-3.0625.0955,M,2,,1,,,,,,,,,,,,,,,,,,,,
S3-3.0625.0955,L,1,,,,,,,,,,,,,,,,,,,,,,
W3-2.0613.1012,S,13,,,,,,,,,,,,,,,,,,,,,,
W3-2.0613.1012,M,,,,,,,1,,,,,,,,,,,,,,,,
S3-1.0625.0850,S,,1,,2,,,,,,,,,,,,,,,,,,,
S1-2.0625.0830,S,,3,,1,,,,,,,,,,,,,,,,,,,
W1-2.0613.0957,S,8,,,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0957,M,,1,2,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0957,S,2,,,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0957,L,1,,,,,,,,,,,,,,,,,,,,,,
S1-1.0625.1005,S,6,3,,,,1,6,,,,,,,,,,,,,,,,
S1-1.0625.1005,M,,6,2,,,,,,,,,,,,,,,,,,,,
S1-1.0625.1005,L,,,16,,,,,,,,,,,,,,,,,,,,
S1-1.0618.0953,S,5,3,,,,2,,,,,,,,,,,,,,,,,
S1-1.0618.0953,M,1,2,,,,,,,,,,,,,,,,,,,,,
S1-3.0625.1010,S,7,1,3,2,,,2,,,,,,,,,,,,,,,,
S1-3.0625.1010,M,,2,1,,,,,,,,,,,,,,,,,,,,
S1-3.0625.1010,L,,,6,,,,,,,,,,,,,,,,,,,,
S1-1.0625.0935,S,8,6,,6,,1,,,,,,,,,,,,,,,,,
S1-1.0625.0935,M,2,2,2,,,,,,,,,,,,,,,,,,,,
S1-1.0625.0935,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-3.0620.1004,S,19,,3,,,,,,,,,,,,,,,,,,,,
W2-3.0620.1004,M,2,4,,,,1,,,,,,,,,,,1,,arachnid ,,,,
S2-1.0625.0905,S,3,5,,3,,,,,,,,,,,,,,,,,,,
S2-1.0625.0905,M,,1,,,,1,,,,,,,,,,,,,,,,,
S2-3.0625.0825,S,4,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0625.0825,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0625.0920,S,9,5,1,1,,,,,,,,,,,,,,,,,,,
S2-1.0625.0920,M,1,2,,,,,,,,,,,,,,,,,,,,,
S2-1.0625.0920,L,,1,2,,,,,,,,,,,,,,,,,,,,
S2-1.0625.0850,S,2,3,,1,,1,,,,,,,,,,,,,,,,,
S2-3.0625.0840,S,1,2,,2,,,,,,,,,,,,,,,,,,,
S2-3.0625.0840,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0625.0900,S,7,2,,1,,,,,,,,,,,,,,,,,,,
S2-2.0625.0830,S,,3,,,,,,,,,,,,,,,,,,,,,
S2-2.0625.0915,S,7,3,,3,,,1,,,,,,,,,,,,,,,,
S2-2.0625.0915,M,,,2,,,,,,,,,,,,,,,,,,,,
S1-1.0625.0950,S,3,9,1,1,,,3,,,,,,,,,,,,,,,,
S1-1.0625.0950,M,3,7,2,,,,,,,,,,,,,,,,,,,,
S1-1.0625.0950,L,,,6,,,,,,,,,,,,,,,,,,,,
S1-1.0625.0950,G,,,2,,,,,,,,,,,,,,,,,,,,
S2-3.0625.0910,S,11,3,,2,,,,,,,,,,,,,,,,,,,
S2-3.0625.0910,M,1,,,,,,,,,,,,,,,,,,,,,,
S2-3.0625.0910,L,,,1,,,,,,,,,,,,,,,,,,,,
S2-3.0625.0925,S,4,1,1,3,,,,1,,,,,,,,,,,,,,,
S2-3.0625.0925,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0623.0924,S,18,10,1,5,,1,,,,,,,,,,,,,,,,,
Z2-3.0623.0924,L,,,2,,,1,,,,,,,,,,,,,,,,,
Z2-3.0623.0924,G,,,1,,,,,,,,,,,,,,,,,,,,
W2-1.0627.0935,S,23,2,,,,,,,,,,,,,,,,,,,,,
W2-1.0627.0935,M,,3,1,,,1,,,,,,,,,,,,,,,,,
W2-1.0627.0935,L,,,,,,1,,,,,1,,,,,,,,,,,,
W2-3.0627.0940,S,24,,,1,,,,,,,,,,,,,,,,,,,
W2-3.0627.0940,M,,1,2,,,,,,,,,,,,,,,,,,,,
W2-1.0627.0905,S,7,2,,,,,,,,,,,,,,,,,,,,,
W2-1.0627.0905,M,1,2,,,,,,,,,,,,,,,,,,,,,
W2-2.0627.0915,S,9,,,,,,,,,,,,,,,,,,,,,,
W2-2.0627.0915,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-2.0627.0915,G,,,,,,,,,,1,,,,,,,,,,,,,
W2-2.0627.0900,S,6,,,1,,,,,,,,,,,,,,,,,,,
W2-3.0627.0925,S,7,2,1,,,2,,,,,,,,,,,,,,,,,
W2-3.0627.0925,M,2,1,2,,,,,,,,,,,,,,,,,,,,
W2-3.0627.0925,L,,,,,,,,,,,1,,,,,,,,,,,,
W2-3.0627.0825,G,,,,,,,,,,,1,,,,,,,,,,,,
W2-2.0627.0845,S,2,,,,,,,,,,,,,,,,,,,,,,
W2-1.0627.0850,S,7,,,,,1,,,,,,,,,,,,,,,,,
W2-1.0627.0850,M,1,,,,,,,,,,,,,,,,,,,,,,
W2-3.0627.0855,S,2,1,,,,,,,,,,,,,,,,,,,,,
W2-3.0627.0855,G,,,,,,,,,,,1,,,,,,,,,,,,
W2-3.0627.0840,S,1,,,,,,,,,,,,,,,,,,,,,,
W2-3.0627.0840,G,,,,,,,,,,,1,,,,,,,,,,,,
S1-1.0625.0905,S,7,,,,,,,,,,,,,,,,,,,,,,
S2-2.0625.1000,S,12,3,,1,,,,,,,,,,,,,,,,,,,
S2-2.0625.1000,M,,1,2,1,,1,,,,,,,,,,,,,,,,,
S2-2.0625.1000,L,,,2,,,,,,,,,,,,,,,,,,,,
S1-3.0625.0925,S,3,1,1,1,,1,,,,,,,,,,,,,,,,,
S1-3.0625.0925,M,,3,3,1,,,,,,,,,,,,,,,,,,,
S1-3.0625.0925,L,,3,,,,,,,,,,,,,,,,,,,,,
S2-2.0625.1015,S,1,,,2,,,2,,,,,,,,,,,,,,,,
S2-2.0625.1015,M,,3,,1,,,,,,,,,,,,,,,,,,,
S2-2.0625.1015,L,,,2,,,,,,,,,,,,,,,,,,,,
S2-2.0625.1015,G,1,,,,,,,,,,,,,,,,,,,,,,
S1-1.0625.0850,S,11,2,1,2,,,3,,,,,,,,,,,,,,,,
S1-1.0625.0850,M,2,5,1,,,,,,,,,,,,,,,,,,,,
S1-1.0625.0850,L,,,12,,,,,,,,,,,,,,,,,,,,
S1-2.0625.0845,S,1,,,3,,,,,,,,,,,,,,,,,,,
S2-1.0625.1020,S,15,5,,2,,2,,,,,,,,,,,,,,,,,
S2-1.0625.1020,M,2,2,,,,,,,,,,,,,,,,,,,,,
S2-1.0625.1020,L,,1,2,,,,,,,,,,,,,,,,,,,,
S1-1.0625.0835,S,3,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0959,S,9,4,,4,,2,1,,,,,,,,,,,,,,,,
Z2-2.0623.0959,M,1,1,3,1,,,,,1,,,,,,,,,,,,,,
Z2-2.0623.0959,L,,,2,,,1,,,,,,,,,,,,,,,,,
Z2-2.0623.0959,G,,,1,,,,,,,1,,,,,,,,,,,,,
W2-2.0613.0942,S,5,,,,,,,,,,,,,,,,,,,,,,
W2-2.0613.0942,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0613.0942,L,1,,,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0842,S,4,,,,,,,,,,,,,,,,,,,,,,
W3-3.0613.1017,S,70,,,,,,,,,,,,,,,,,,,,,,
W3-3.0613.1017,M,1,1,1,,,,,,,,,,,,,,,,,,,,
W3-3.0613.1017,L,,,1,,,,,,,,,,,,,,,,,,,,
W3-3.0613.1017,G,,,1,,,,,,,,,,,,,,,,,,,,
W1-2.0620.0929,S,124,1,,4,,1,,,,,,,,,,,,,,,,,
W1-2.0620.0929,M,7,1,2,,,,,,,,,,,,,,,,,,,,
W1-2.0620.0914,S,41,5,8,1,,2,,1,,,,,,,,,,,,,,,
W1-2.0620.0914,M,6,1,,,,1,,,,,,,,,,,,,,,,,
W1-2.0620.0914,L,1,,,,,,,,,,,,,,,,,,,,,,
Z1-1.0623.0934,S,32,18,5,9,2,,12,,,,,,,,,,,,,,,,
Z1-1.0623.0934,M,,2,,,,,,,,,,,,,,,,,,,,,
Z1-1.0623.0934,L,1,,,,,,,,,,,,,,,,,,,,,,
W1-3.0613.0932,S,7,,,1,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0914,S,9,8,,7,,1,,,,,,,,,,,,,,,,,
Z2-2.0623.0914,M,,2,1,,,,,,,,,,,,,,,,,,,,
S2-3.0625.0955,S,12,1,,1,,,,,,,,,,,,,,,,,,,
S2-3.0625.0955,M,2,1,2,1,,,1,,,,,,,,,,,,,,,,
S2-3.0625.0955,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0623.0919,S,36,14,3,,,,5,,,,,,,,,,,2,,,,,
Z1-1.0623.0919,M,1,1,,,,,,,,,,,,,,,,,,,,,
W3-1.0620.0924,S,6,2,1,3,,,,,,,,,,,,,,,,,,,
W3-1.0620.0924,M,2,2,,,,,,,,,,,,,,,,,,,,,
W3-3.0620.0904,S,16,2,1,,,,,,,,,,,,,,,,,,,,
W3-3.0620.0904,M,2,,,,,,,,,,,,,,,,,,,,,,
W3-1.0620.0954,S,6,,1,1,,,,,,,,,,,,,,,,,,,
W3-1.0620.0954,M,2,2,,,,,,,,,,,,,,,,,,,,,
W1-3.0620.1004,S,38,2,4,1,,,,,,,,,,,,,,,,,,,
W1-3.0620.1004,M,4,,2,1,,,1,,,,,,,,,,,,,,,,
W1-2.0620.0859,S,39,2,,1,,,,,,,,,,,,,,,,,,,
W1-2.0620.0859,M,9,,1,,,,,,,,,,,,,,,,,,,,
W1-2.0620.1014,S,86,1,2,1,,,,,,,,,,,,,,,,,,,
W1-2.0620.1014,M,3,2,4,,,2,,,,,,,,,,,,,,,,,
W1-2.0620.1014,L,1,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0929,S,10,2,,4,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0929,M,1,,4,,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0929,L,,,2,,,,,,,,,,,,,,,,,,,,
W1-1.0620.0909,S,55,,,1,,,,,,,,,,,,,,,,,,,
W1-1.0620.0909,M,9,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0623.0909,S,10,9,,9,,3,,,,,,,,,,,,,,,,,
Z2-3.0623.0909,M,1,1,1,,,,,,1,,,,,,,,,,,,,,
Z2-3.0623.0954,S,10,6,1,7,,2,,,,,,,,,,,,,,,,,
Z2-3.0623.0954,M,,1,1,,,2,2,,,,,,,,,,,,,,,,
Z2-3.0623.0954,L,1,1,2,,,,,,,,,,,,,,,,,,,,
Z2-3.0623.1009,S,13,2,1,12,,1,1,,,,,,,,,,,,,,,,
Z2-3.0623.1009,M,,6,2,,,,1,,,,,,,,,,,,,,,,
Z2-3.0623.1009,G,,,3,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0849,S,,2,,9,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0849,M,1,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0623.0944,S,10,3,,,,,,,,,,,,,,,,,,,,,
Z3-2.0623.0944,M,,,2,,,,,,,,,,,,,,,,,,,,
Z3-2.0623.0944,L,,,2,,,,,,,,,,,,,,,,,,,,
Z3-1.0623.0949,S,3,6,,,,4,,,,,,,,,,,,,,,,,
Z3-1.0623.0949,M,,1,,1,,1,,,,,,,,,,,,,,,,,
Z3-1.0623.0949,L,,1,4,,,,,,,,,,,,,,,,,,,,
Z1-2.0623.0944,S,8,5,,3,,1,,,,,,,,,,,,,,,,,
Z1-2.0623.0944,M,1,1,,,,,10,,,,,,,,,,,,,,,,
Z2-1.0623.0934,S,8,5,1,15,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0934,M,,2,2,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0934,L,,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0934,G,,,1,,,,,,,,,,,,,,,,,,,,
Z3-1.0623.0934,S,5,1,,3,,1,,,,,,,,,,,,,,,,,
Z3-1.0623.0934,M,,2,,1,,,,,,,,,,,,,,,,,,,
Z3-2.0623.0929,S,10,4,,2,,2,,,,,,,,,,,,,,,,,
Z3-2.0623.0939,S,2,3,1,,,1,,,,,,,,,,,,,,,,,
Z3-2.0623.0939,M,,1,1,,,1,,,,,,,,,,,,,,,,,
Z3-2.0623.0939,L,,,1,,,,,,,,1,,,,,,,,,,,,
Z3-3.0623.0939,S,3,7,,4,,2,,,,,,,,,,,,,,,,,
Z3-3.0623.0939,M,4,,3,1,,,,,,,,,,,,,,,,,,,
Z3-3.0623.0939,L,,,2,,,,,,,,,,,,,,,,,,,,
Z1-2.0623.0929,S,8,6,1,3,,,,,,,,,,,,,,,,,,,
Z1-2.0623.0929,M,2,,1,,,,9,,,,,,,,,,,,,,,,
Z1-3.0623.0924,S,26,3,,2,,4,,,,,,,,,,,,,,,,,
Z1-3.0623.0924,M,2,2,1,,,,18,,,,,,,,,,,,,,,,
W2-3.0620.0949,S,28,,1,1,,1,,,,,,,,,,,,,,,,,
W2-3.0620.0949,M,3,11,2,1,,1,,,,,,,,,,,,,,,,,
W2-3.0620.0949,L,,,,,,1,,,,,,,,,,,,,,,,,
W2-3.0620.0949,G,,,,,,,,,,,1,,,,,,,,,,,,
W2-2.0620.0829,S,5,,,,,1,,,,,,,,,,,,,,,,,
S1-2.0611.0841,S,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0611.0856,S,12,2,1,,,1,,,,,,,,,,,,,,,,,
S2-3.0611.0916,S,25,5,2,,1,,2,,,,,,,,,,,,,,,,
S2-3.0611.0916,M,2,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0620.0959,S,43,2,3,5,,3,,,,,,,,,,,,,,,,,
W2-2.0620.0959,M,1,2,3,,,,,,,,,,,,,,,,,,,,
W2-1.0620.0924,S,61,2,1,4,,3,,,,,,,,,,,,,,,,,
W2-1.0620.0924,M,1,2,,1,,,3,,,,,,,,,,,,,,,,
W2-3.0620.0904,S,25,1,1,6,,,,,,,,,,,,,,,,,,,
W2-3.0620.0904,M,1,2,1,,,,,,,,,,,,,,,,,,,,
W3-2.0613.0927,S,32,,,,,,,,,,,,,,,,,,,,,,
W3-2.0613.0927,M,3,,,,,,,,,,,,,,,,,,,,,,
W1-3.0613.0902,S,7,,,,,,,,,,,,,,,,,,,,,,
W1-3.0613.0902,M,2,,,,,,,,,,,,,,,,,,,,,,
W2-2.0613.0842,S,1,,,,,,,,,,,,,,,,,,,,,,
